,borough_abbr,income_status,Total annual income (£),retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,tot_mobility
115,Lincoln,Low Income,34900.0,-39.972,-11.136,6.9298245614035086,-51.208,-39.752,12.928,-35.517
116,Liverpool,Low Income,32100.0,-42.496,-16.34,-11.556,-53.392,-45.276,14.816,-39.376
117,Maidstone,High Income,49800.0,-38.716599190283404,-9.456,15.515151515151516,-37.18,-40.724,15.784,-31.5
118,Maldon,Mid Income,45700.0,-34.97835497835498,-9.636363636363637,7.989010989010989,-30.173160173160174,-40.348,13.522321428571429,-28.77922077922078
119,Malvern Hills,Mid Income,44800.0,-37.22943722943723,-9.692640692640692,6.681034482758621,-32.81818181818182,-39.744,14.097560975609756,-29.848484848484848
120,Manchester,Low Income,34900.0,-51.604,-22.3,-6.9,-63.372,-48.472,16.692,-46.437
121,Mansfield,Low Income,33700.0,-38.65811965811966,-8.856,-4.021645021645021,-34.85281385281385,-34.384,12.076,-29.26082251082251
122,Mean Value HI,High Income,53996.79487179463,-41.058512951377814,-14.39834248555855,25.350448004880494,-48.75854415227606,-51.00792207792207,19.154758448418484,-38.89438740442153
123,Mean Value LI,Low Income,35003.5625,-33.7992108017694,-9.553407077743378,28.90189197965101,-33.70611969696971,-38.33135606060605,13.125835244547813,-29.23696560099846
124,Melton,Mid Income,47300.0,-38.15652173913043,-7.9393939393939394,,-29.117391304347827,-40.208,12.934579439252337,-28.526200873362445
125,Mendip,Mid Income,41400.0,-37.112554112554115,-11.527659574468085,32.23809523809524,-18.134199134199132,-39.48,13.776,-26.5487012987013
126,Merton,High Income,59100.0,-43.056,-13.948,31.41125541125541,-52.736,-54.3,20.9,-41.01
127,Mid Devon,Mid Income,41800.0,-34.15584415584416,-13.753246753246753,15.37704918032787,-23.87012987012987,-36.136,13.05691056910569,-26.965367965367964
128,Mid Suffolk,Mid Income,44800.0,-38.53679653679654,-8.774891774891774,-12.0,-26.575757575757574,-41.376,14.370967741935484,-28.796536796536795
129,Mid Sussex,High Income,55500.0,-37.112554112554115,-16.975206611570247,35.22510822510822,-46.268,-49.408,18.0,-37.573593073593074
130,Mole Valley,High Income,57500.0,-37.995670995671,-18.155844155844157,7.640692640692641,-52.294372294372295,-50.904,17.808695652173913,-39.798701298701296
131,New Forest,Mid Income,44700.0,-31.06926406926407,-6.944,46.66233766233766,-29.904761904761905,-40.604,14.372,-27.257575757575758
132,Newark and Sherwood,Mid Income,45000.0,-38.41558441558441,-9.484978540772532,19.337662337662337,-38.42857142857143,-38.504,13.44,-31.192640692640694
133,Newcastle upon Tyne,Low Income,33200.0,-51.388,-18.532,33.4025974025974,-53.704,-46.392,16.156,-42.504
134,Newcastle-under-Lyme,Mid Income,38900.0,-34.23504273504273,-11.536,5.5131578947368425,-28.961038961038962,-40.352,14.568,-28.81926406926407
135,Newham,Mid Income,45200.0,-44.56,-13.0,119.12121212121212,-50.728,-51.02,18.076,-39.827
136,North Devon,Mid Income,38700.0,-27.454545454545453,-4.134199134199134,47.604166666666664,-31.757575757575758,-35.044,11.758064516129032,-24.675324675324674
137,North East Derbyshire,Mid Income,37500.0,-34.099567099567096,-4.125541125541125,12.393939393939394,-14.670995670995671,-41.652,14.012048192771084,-23.61796536796537
138,North Hertfordshire,High Income,49800.0,-42.111111111111114,-11.038297872340426,31.267543859649123,-42.6425702811245,-52.008,18.995983935742974,-37.09722222222222
139,North Kesteven,Mid Income,42000.0,-36.12987012987013,-7.852813852813853,1.9437229437229437,-24.8008658008658,-38.984,14.592,-26.93073593073593
140,North Norfolk,Mid Income,37800.0,-18.805194805194805,-3.7489177489177488,69.73777777777778,-11.168831168831169,-34.196,11.633064516129032,-17.042207792207794
141,North Tyneside,Mid Income,37100.0,-32.328,-8.468,-0.9177489177489178,-41.784,-46.52,15.824,-32.275
142,North Warwickshire,Mid Income,42500.0,-38.489177489177486,7.935064935064935,3.9853658536585366,-20.532467532467532,-42.732,14.808163265306122,-23.433982683982684
143,North West Leicestershire,Mid Income,43600.0,-36.086580086580085,-11.281385281385282,12.899563318777293,-38.028,-43.212,15.514056224899598,-32.47186147186147
144,Northampton,Mid Income,38500.0,-37.592,-15.28,-20.056277056277057,-41.172,-39.968,14.352,-33.503
145,Norwich,Mid Income,37600.0,-45.78,-8.924,45.80952380952381,-57.984,-44.372,15.116,-39.265
146,Nuneaton and Bedworth,Mid Income,37900.0,-40.06926406926407,-6.298319327731092,-29.0,-38.675324675324674,-38.748,13.896,-30.89177489177489
147,Oadby and Wigston,Mid Income,44400.0,-35.78695652173913,-17.51082251082251,,-33.714285714285715,-45.396,16.637860082304528,-32.916304347826085
148,Oldham,Low Income,35500.0,-33.568,-12.584,40.26521739130435,-35.528,-40.472,13.672,-30.538
149,Oxford,High Income,52950.0,-52.372,-25.136,2.6233766233766236,-57.484,-50.796,20.112,-46.447
150,Pendle,Low Income,36200.0,-29.454545454545453,-11.601731601731602,13.028776978417266,-31.735930735930737,-34.408,12.828,-26.844155844155843
151,Redbridge,High Income,50400.0,-32.496,-9.868,54.696969696969695,-49.568,-51.848,18.476,-35.945
152,Redditch,Mid Income,40700.0,-40.8051948051948,-9.406926406926408,,-42.54978354978355,-42.016,14.373493975903614,-33.67424242424242
153,Reigate and Banstead,High Income,57400.0,-44.598290598290596,-20.33884297520661,34.23267326732673,-52.076,-50.852,19.212,-41.958333333333336
154,Ribble Valley,Mid Income,43200.0,-40.21212121212121,-11.761904761904763,97.32085561497327,-30.935064935064936,-40.736,14.491150442477876,-30.9004329004329
155,Richmond upon Thames,High Income,65600.0,-43.29718875502008,-11.344,37.03030303030303,-54.968,-61.544,22.437751004016064,-42.76204819277108
156,Richmondshire,Mid Income,41100.0,-26.796536796536795,-8.554112554112555,13.705583756345177,-18.09090909090909,-38.63793103448276,10.196969696969697,-22.99134199134199
157,Rochdale,Low Income,34600.0,-30.052,-14.748,28.672566371681416,-32.08,-38.548,14.064,-28.857
158,Rochford,Mid Income,44850.0,-35.02164502164502,-2.735930735930736,-27.75,-54.78099173553719,-46.756,16.8130081300813,-34.84632034632035
159,Rossendale,Mid Income,37800.0,-29.748917748917748,-13.761904761904763,,-31.761904761904763,-41.848,15.036585365853659,-29.266233766233768
160,Rother,Mid Income,37400.0,-28.92207792207792,-3.0606060606060606,26.225108225108226,-28.523809523809526,-39.588,12.792682926829269,-25.063852813852815
161,Rotherham,Mid Income,37300.0,-29.832,-11.08,19.363636363636363,-33.46,-39.62,13.508,-28.498
162,Rugby,Mid Income,45550.0,-33.29059829059829,-11.58974358974359,33.190265486725664,-42.23809523809524,-41.132,15.472,-32.07683982683983
163,Runnymede,High Income,55400.0,-40.74025974025974,-21.2987012987013,41.824561403508774,-48.63203463203463,-50.532,17.878048780487806,-40.27813852813853
164,Rushcliffe,High Income,53700.0,-47.75757575757576,-10.1991341991342,31.42056074766355,-36.12987012987013,-50.924,18.201612903225808,-36.22186147186147
165,Rushmoor,High Income,53800.0,-40.24596774193548,-10.86266094420601,-3.642857142857143,-52.67206477732793,-45.844,17.276,-37.67381974248927
166,Ryedale,Mid Income,38900.0,-23.58407079646018,-10.113636363636363,27.68831168831169,-21.813852813852815,-37.52916666666667,11.431924882629108,-24.011627906976745
167,Salford,Low Income,36500.0,-34.708,-12.344,13.021645021645021,-50.012,-45.84,16.384,-35.726
168,Sandwell,Low Income,33400.0,-31.244,-9.7,32.37662337662338,-39.544,-40.224,13.768,-30.178
169,Scarborough,Low Income,33550.0,-29.233766233766232,-2.4155844155844157,83.01298701298701,-15.558441558441558,-33.612,11.204,-20.28030303030303
170,Sedgemoor,Mid Income,40650.0,-30.246753246753247,-2.632034632034632,64.44782608695652,-15.8008658008658,-34.964,12.44,-20.905844155844157
171,Selby,Mid Income,44850.0,-37.064935064935064,-11.367965367965368,4.913875598086125,-31.696969696969695,-43.736,15.266129032258064,-30.943722943722943
172,Sevenoaks,High Income,54700.0,-33.29004329004329,-15.835497835497835,38.96969696969697,-47.73593073593074,-48.144,17.708502024291498,-36.24025974025974
173,Sheffield,Mid Income,38050.0,-43.648,-13.424,19.400862068965516,-50.128,-45.416,15.832,-38.154
174,South Bucks,High Income,58300.0,-36.4025974025974,-14.796536796536797,3.0303030303030303,-38.388,-49.084,17.745967741935484,-34.99891774891775
175,South Cambridgeshire,High Income,55650.0,-40.506493506493506,-21.616,16.735930735930737,-39.084,-52.284,20.676,-38.61471861471861
176,South Derbyshire,Mid Income,44250.0,-43.311688311688314,-6.402597402597403,18.83982683982684,-33.52813852813853,-43.54,15.64,-31.667748917748916
177,South Hams,Mid Income,43000.0,-22.96969696969697,-7.6103896103896105,79.05194805194805,-6.965367965367966,-38.692,13.224899598393574,-19.074675324675326
178,South Holland,Low Income,36900.0,-34.502164502164504,-4.9480519480519485,0.352,-19.74025974025974,-32.232,11.256,-22.810606060606062
179,South Kesteven,Mid Income,44750.0,-37.82403433476395,-13.58,24.221739130434784,-38.25108225108225,-42.78,14.712,-33.16125541125541
180,South Lakeland,Mid Income,41550.0,-29.965367965367964,0.8787878787878788,48.85281385281385,-14.965367965367966,-40.984,13.03238866396761,-21.35930735930736
181,South Norfolk,Mid Income,44800.0,-35.34632034632035,-9.41125541125541,19.675324675324674,-30.528138528138527,-40.66,15.272,-28.950216450216452
182,South Northamptonshire,High Income,51400.0,-38.125541125541126,-15.177489177489177,6.8979591836734695,-21.458874458874458,-46.024,17.390243902439025,-30.155844155844157
183,South Oxfordshire,High Income,56600.0,-36.03030303030303,-16.076,31.786956521739132,-42.88,-50.52,18.444,-36.628787878787875
184,South Ribble,Mid Income,43400.0,-38.04761904761905,-13.516129032258064,15.709401709401709,-36.82683982683983,-42.832,15.868,-32.75865800865801
185,South Somerset,Mid Income,41300.0,-36.717948717948715,-12.916,31.216450216450216,-23.939393939393938,-36.996,13.06,-27.754329004329005
186,South Staffordshire,Mid Income,42750.0,-41.76623376623377,-3.354978354978355,16.50537634408602,-19.151515151515152,-38.84,15.274193548387096,-25.796536796536795
187,South Tyneside,Low Income,32600.0,-40.42307692307692,-5.364372469635628,32.086580086580085,-29.051948051948052,-43.028,13.748,-29.50974025974026
188,Southwark,High Income,50900.0,-52.108,-20.392,-9.248,-60.04,-58.644,22.792,-47.796
189,Spelthorne,High Income,54800.0,-43.141630901287556,-16.471861471861473,38.82386363636363,-45.33744855967078,-48.792,18.193548387096776,-38.51623376623377
190,Stafford,Mid Income,46300.0,-36.65677966101695,-12.368,-13.536796536796537,-39.044,-40.748,15.124,-32.39724576271186
191,Staffordshire Moorlands,Mid Income,41300.0,-35.36796536796537,-7.406926406926407,36.705882352941174,-15.917748917748918,-40.556,14.196,-24.821428571428573
192,Stevenage,Mid Income,44700.0,-39.166666666666664,-19.277551020408165,-3.1206896551724137,-56.832,-43.752,16.133064516129032,-39.792735042735046
193,Stratford-on-Avon,Mid Income,44600.0,-41.56709956709957,-10.025974025974026,33.056277056277054,-28.349397590361445,-45.108,16.550200803212853,-31.726190476190474
194,Stroud,Mid Income,45600.0,-42.03896103896104,-7.675324675324675,5.597402597402597,-24.676348547717843,-42.948,15.662650602409638,-29.6017316017316
195,Suffolk Coastal,Mid Income,44700.0,-30.27705627705628,-8.752136752136753,40.874458874458874,-16.935064935064936,-41.796,14.148,-24.456709956709958
196,Sunderland,Low Income,33450.0,-32.576,-7.704,23.0,-32.244,-40.88,13.428,-28.351
197,Surrey Heath,High Income,62050.0,-35.683982683982684,-17.5974025974026,-31.5,-34.58874458874459,-48.824,18.04471544715447,-34.150432900432904
198,Sutton,High Income,55300.0,-38.52564102564103,-12.544,44.523809523809526,-53.888,-52.428,19.444,-39.340811965811966
199,Tamworth,Mid Income,40800.0,-38.96969696969697,-13.542735042735043,,-41.476190476190474,-41.288,13.935483870967742,-33.824675324675326
200,Tandridge,High Income,56400.0,-38.701298701298704,-10.216450216450216,11.48917748917749,-39.68,-51.688,18.65573770491803,-35.298701298701296
201,Taunton Deane,Mid Income,42100.0,-40.56277056277056,-12.923404255319149,28.704225352112676,-32.32034632034632,-39.74,14.16,-31.364718614718615
202,Teignbridge,Mid Income,42000.0,-35.82251082251082,-4.376623376623376,44.62337662337662,-14.32034632034632,-39.0,13.112,-23.37121212121212
